Geneid,sorted.step1.CH8_hisat2_B20_C.bam,sorted.step1.CH36_hisat2_B20_C.bam,sorted.step1.CH64_hisat2_B20_C.bam,sorted.step1.CH5_hisat2_B20_EAB.bam,sorted.step1.CH33_hisat2_B20_EAB.bam,sorted.step1.CH125_hisat2_B20_EAB.bam
FRAEX38873_v2_000042590,61,81,79,140,63,64
FRAEX38873_v2_000042600,1100,1598,1044,1669,1816,1541
FRAEX38873_v2_000042610,0,0,0,0,0,0
FRAEX38873_v2_000042620,2190,2472,2749,2213,1797,1714
FRAEX38873_v2_000042630,74,287,298,448,70,355
FRAEX38873_v2_000042640,1814,1990,1770,3121,3884,2564
FRAEX38873_v2_000042650,1179,1667,3493,1681,133,1581
FRAEX38873_v2_000042660,0,0,0,0,3,0
FRAEX38873_v2_000400980,277,883,346,871,796,537
FRAEX38873_v2_000050670,55,49,70,208,104,42
FRAEX38873_v2_000050680,792,646,921,1463,1294,1453
FRAEX38873_v2_000050700,49,35,59,88,25,35
FRAEX38873_v2_000050710,1359,1131,1947,2998,2751,3256
FRAEX38873_v2_000050720,5147,4064,6884,5456,4633,4008
FRAEX38873_v2_000058330,295,394,488,368,378,543
FRAEX38873_v2_000058340,103,118,412,83,0,43
FRAEX38873_v2_000058350,64,47,185,144,146,222
FRAEX38873_v2_000058360,93,85,73,81,119,102
FRAEX38873_v2_000058370,906,934,983,1108,1258,991
FRAEX38873_v2_000058380,997,743,1038,1187,1147,1832
FRAEX38873_v2_000058390,1575,478,1090,690,700,340
FRAEX38873_v2_000058400,809,388,2277,173,155,332
FRAEX38873_v2_000058410,3,0,0,9,3,0
FRAEX38873_v2_000058420,5339,1948,2247,3059,2860,3499
FRAEX38873_v2_000058430,112,97,219,71,34,141
FRAEX38873_v2_000058440,290,228,329,294,185,177
FRAEX38873_v2_000058450,138,60,95,209,273,111
FRAEX38873_v2_000058460,192,269,239,223,262,317
FRAEX38873_v2_000058470,220,218,256,198,249,197
FRAEX38873_v2_000058480,31,20,41,43,33,48
FRAEX38873_v2_000058490,18074,15174,21742,28220,31587,44660
FRAEX38873_v2_000058500,396,426,354,483,454,486
FRAEX38873_v2_000058510,0,0,0,0,0,0
FRAEX38873_v2_000058520,1272,715,893,1025,1023,858
FRAEX38873_v2_000058530,33,71,31,29,36,36
FRAEX38873_v2_000058540,13,0,3,25,7,0
FRAEX38873_v2_000058550,1588,1164,2154,1309,986,1127
FRAEX38873_v2_000058560,5,0,33,4,0,4
FRAEX38873_v2_000058570,60,71,92,22,36,32
FRAEX38873_v2_000058580,1267,1293,1676,1415,1071,1383
FRAEX38873_v2_000058590,796,910,1218,1005,931,1202
FRAEX38873_v2_000058600,674,454,697,691,792,686
FRAEX38873_v2_000058610,382,1137,2093,1845,245,1365
FRAEX38873_v2_000066570,244,162,176,350,643,434
FRAEX38873_v2_000066580,3633,2457,3725,3744,3369,3837
FRAEX38873_v2_000066590,85,56,61,132,68,43
FRAEX38873_v2_000066600,14,6,9,26,4,3
FRAEX38873_v2_000066610,839,430,4982,8396,1355,5893
FRAEX38873_v2_000066620,0,0,0,0,0,1
FRAEX38873_v2_000066630,148,87,102,184,313,194
