Geneid;c1;c2;c3;t1;t2;t3
FRAEX38873_v2_000042450;0;0;0;0;0;0
FRAEX38873_v2_000042460;0;3;0;1;3;0
FRAEX38873_v2_000042470;23;14;36;17;34;43
FRAEX38873_v2_000042480;4598;4442;3855;2820;3239;3459
FRAEX38873_v2_000042490;26;50;18;319;174;343
FRAEX38873_v2_000042500;2166;1851;1953;1812;1816;1704
FRAEX38873_v2_000042510;175;221;155;226;260;94
FRAEX38873_v2_000042520;874;814;1004;1002;1033;992
FRAEX38873_v2_000042530;1255;1469;1387;1352;1908;1895
FRAEX38873_v2_000042540;434;417;570;297;279;290
FRAEX38873_v2_000042550;3636;3668;2365;2436;2606;2586
FRAEX38873_v2_000042560;237;175;142;168;233;272
FRAEX38873_v2_000042570;429;489;512;1139;1416;1170
FRAEX38873_v2_000042580;383;376;347;443;442;453
FRAEX38873_v2_000042590;77;103;43;24;4;28
FRAEX38873_v2_000042600;1228;2168;1667;836;1271;1516
FRAEX38873_v2_000042610;0;0;0;0;0;0
FRAEX38873_v2_000042620;2596;3024;3344;1808;1765;1745
FRAEX38873_v2_000042630;81;144;2026;275;80;110
FRAEX38873_v2_000042640;1733;1775;1754;2827;2908;2959
FRAEX38873_v2_000042650;2844;840;3493;645;183;503
FRAEX38873_v2_000042660;0;0;10;11;49;4
FRAEX38873_v2_000400980;471;1852;736;472;518;533
FRAEX38873_v2_000050670;23;63;35;45;43;102
FRAEX38873_v2_000050680;555;567;464;935;806;823
FRAEX38873_v2_000050700;18;43;29;41;11;23
FRAEX38873_v2_000050710;1905;1320;1035;2272;2477;3072
FRAEX38873_v2_000050720;6140;5124;5506;4194;3659;3456
FRAEX38873_v2_000058330;723;711;530;659;611;575
FRAEX38873_v2_000058340;292;11;192;0;2;8
FRAEX38873_v2_000058350;69;18;52;21;87;130
FRAEX38873_v2_000058360;130;113;142;219;187;141
FRAEX38873_v2_000058370;1153;1198;1261;1166;1056;1133
FRAEX38873_v2_000058380;1774;1241;1743;1177;1442;1750
FRAEX38873_v2_000058390;683;829;314;916;567;990
FRAEX38873_v2_000058400;344;574;298;572;245;632
FRAEX38873_v2_000058410;0;0;0;7;23;24
FRAEX38873_v2_000058420;2325;1819;2338;2505;2543;2456
FRAEX38873_v2_000058430;210;16;252;32;50;30
FRAEX38873_v2_000058440;291;127;372;91;76;171
FRAEX38873_v2_000058450;85;63;176;273;478;367
FRAEX38873_v2_000058460;214;187;203;203;243;190
FRAEX38873_v2_000058470;354;228;190;448;265;322
FRAEX38873_v2_000058480;0;0;9;11;5;0
FRAEX38873_v2_000058490;26329;22042;24791;20503;30816;28524
FRAEX38873_v2_000058500;56;27;61;65;71;81
FRAEX38873_v2_000058510;0;0;0;0;0;0
FRAEX38873_v2_000058520;938;970;1141;835;1042;1063
FRAEX38873_v2_000058530;57;39;15;38;23;20
FRAEX38873_v2_000058540;0;2;0;0;2;2
FRAEX38873_v2_000058550;1232;1195;1356;674;617;729
FRAEX38873_v2_000058560;15;13;10;3;3;0
FRAEX38873_v2_000058570;97;109;40;29;52;49
FRAEX38873_v2_000058580;1412;1430;1504;1289;1390;1581
FRAEX38873_v2_000058590;1133;1206;1045;1028;1110;1220
FRAEX38873_v2_000058600;832;1138;916;751;863;962
FRAEX38873_v2_000058610;725;660;2736;266;291;1284
FRAEX38873_v2_000066570;353;202;377;521;1107;463
FRAEX38873_v2_000066580;3622;3314;3519;2947;3430;3145
FRAEX38873_v2_000066590;79;59;49;183;81;86
FRAEX38873_v2_000066600;0;0;0;0;0;5
FRAEX38873_v2_000066610;460;838;118;367;102;2376
FRAEX38873_v2_000066620;0;0;0;0;0;0
FRAEX38873_v2_000066630;188;198;153;238;323;274
FRAEX38873_v2_000066640;0;0;0;0;5;2
FRAEX38873_v2_000066650;0;0;0;0;0;0
FRAEX38873_v2_000066660;0;0;0;0;0;0
FRAEX38873_v2_000066670;5658;6463;5517;27935;32636;25798
FRAEX38873_v2_000066680;79;113;60;143;61;168
FRAEX38873_v2_000066690;782;744;743;976;1224;1190
FRAEX38873_v2_000066700;2147;2475;2482;2674;2507;2812
FRAEX38873_v2_000066710;666;699;946;678;947;1148
FRAEX38873_v2_000066720;0;1;0;0;0;1
FRAEX38873_v2_000066730;205;253;351;480;532;308
FRAEX38873_v2_000066740;2587;2009;2441;946;747;926
FRAEX38873_v2_000066750;683;13;419;6;15;31
FRAEX38873_v2_000066760;21;10;0;42;21;31
FRAEX38873_v2_000066770;3;19;33;73;84;98
FRAEX38873_v2_000066780;508;533;974;498;545;525
FRAEX38873_v2_000066790;1245;1114;755;769;745;921
FRAEX38873_v2_000066800;146;81;78;620;42;67
FRAEX38873_v2_000400990;30;133;58;7;23;23
FRAEX38873_v2_000401000;26;21;17;12;4;4
FRAEX38873_v2_000401010;7;23;17;11;7;2
FRAEX38873_v2_000074590;898;720;652;630;656;640
FRAEX38873_v2_000074600;0;5;37;163;89;48
FRAEX38873_v2_000074610;0;8;0;1;0;0
