Geneid;sorted.step1.CH100_B8_C_hisat2.bam;sorted.step1.CH16_B8_C_hisat2.bam;sorted.step1.CH44_B8_C_hisat2.bam;sorted.step1.CH13_B8_EAB_hisat2.bam;sorted.step1.CH41_B8_EAB_hisat2.bam;sorted.step1.CH97_B8_EAB_hisat2.bam
FRAEX38873_v2_000023150;0;0;0;0;0;0
FRAEX38873_v2_000023160;792;611;840;1424;1287;1465
FRAEX38873_v2_000023170;11;6;22;4;83;15
FRAEX38873_v2_000023180;0;0;0;0;0;0
FRAEX38873_v2_000023190;4620;5829;4908;3275;1847;2880
FRAEX38873_v2_000023200;1661;2036;1792;2878;3622;3158
FRAEX38873_v2_000023210;0;0;0;0;0;0
FRAEX38873_v2_000032170;123;362;384;3559;4009;2868
FRAEX38873_v2_000032180;7;10;32;79;29;77
FRAEX38873_v2_000032190;980;633;994;401;460;534
FRAEX38873_v2_000032200;870;480;420;373;408;326
FRAEX38873_v2_000032210;55;77;172;11;33;111
FRAEX38873_v2_000032220;312;178;263;55;131;220
FRAEX38873_v2_000032230;0;0;0;0;0;0
FRAEX38873_v2_000032240;0;6;0;17;82;3
FRAEX38873_v2_000032250;0;0;0;0;0;0
FRAEX38873_v2_000400930;66;27;24;25;93;33
FRAEX38873_v2_000400940;53;6;21;19;44;12
FRAEX38873_v2_000400950;17;13;11;9;25;14
FRAEX38873_v2_000400960;0;0;0;0;0;0
FRAEX38873_v2_000400970;43;4;17;16;30;25
FRAEX38873_v2_000042390;0;0;0;0;0;1
FRAEX38873_v2_000042400;8;0;2;75;9;6
FRAEX38873_v2_000042410;174;121;178;172;215;188
FRAEX38873_v2_000042420;4;0;0;4;6;2
FRAEX38873_v2_000042430;394;323;360;552;513;500
FRAEX38873_v2_000042440;1160;2837;3233;736;939;1220
FRAEX38873_v2_000042450;0;0;0;0;0;0
FRAEX38873_v2_000042460;4;0;5;4;2;6
FRAEX38873_v2_000042470;54;21;83;41;35;55
FRAEX38873_v2_000042480;4948;4993;5442;4371;4993;4296
FRAEX38873_v2_000042490;43;19;46;480;509;406
FRAEX38873_v2_000042500;1853;1942;2174;1364;1391;1828
FRAEX38873_v2_000042510;196;77;159;200;136;197
FRAEX38873_v2_000042520;623;561;950;784;685;834
FRAEX38873_v2_000042530;1216;1085;1653;2304;2269;2765
FRAEX38873_v2_000042540;141;277;405;128;150;217
FRAEX38873_v2_000042550;2027;2976;2791;2794;2467;2562
FRAEX38873_v2_000042560;104;127;148;286;278;317
FRAEX38873_v2_000042570;380;485;482;1479;1412;1390
FRAEX38873_v2_000042580;209;423;468;403;460;528
FRAEX38873_v2_000042590;18;70;47;8;28;4
FRAEX38873_v2_000042600;1215;1260;1606;1803;1602;1552
FRAEX38873_v2_000042610;0;0;0;0;0;0
FRAEX38873_v2_000042620;2045;2154;2612;1220;1509;1801
FRAEX38873_v2_000042630;317;0;1;307;14;329
FRAEX38873_v2_000042640;2030;1738;1957;3742;4039;3970
FRAEX38873_v2_000042650;5143;3194;2385;300;1098;964
FRAEX38873_v2_000042660;0;7;0;20;0;23
FRAEX38873_v2_000400980;826;365;598;412;699;484
FRAEX38873_v2_000050670;69;116;67;97;237;64
FRAEX38873_v2_000050680;546;689;930;1079;1156;1683
FRAEX38873_v2_000050700;69;40;65;62;45;45
FRAEX38873_v2_000050710;772;1428;1793;2594;2661;3090
FRAEX38873_v2_000050720;7152;4258;6481;2193;3523;3422
FRAEX38873_v2_000058330;511;463;625;552;744;759
FRAEX38873_v2_000058340;469;350;186;1;6;9
FRAEX38873_v2_000058350;20;52;65;151;133;221
FRAEX38873_v2_000058360;170;206;145;133;192;133
FRAEX38873_v2_000058370;923;1205;1292;998;1110;1193
FRAEX38873_v2_000058380;1862;1376;1505;1370;1494;1699
FRAEX38873_v2_000058390;798;736;706;710;954;694
FRAEX38873_v2_000058400;542;646;545;573;644;603
FRAEX38873_v2_000058410;0;0;0;12;64;19
FRAEX38873_v2_000058420;1459;1512;2202;3329;1829;2838
FRAEX38873_v2_000058430;487;266;197;19;28;129
FRAEX38873_v2_000058440;158;106;307;46;133;105
FRAEX38873_v2_000058450;167;101;118;390;419;409
FRAEX38873_v2_000058460;304;211;232;286;252;231
FRAEX38873_v2_000058470;307;193;384;487;517;417
FRAEX38873_v2_000058480;0;0;0;0;0;25
FRAEX38873_v2_000058490;10288;21973;23561;31460;18884;27873
FRAEX38873_v2_000058500;38;49;112;63;83;110
FRAEX38873_v2_000058510;0;0;0;0;0;0
FRAEX38873_v2_000058520;630;1367;1103;736;829;1001
FRAEX38873_v2_000058530;39;29;14;4;8;15
FRAEX38873_v2_000058540;3;9;0;2;0;0
FRAEX38873_v2_000058550;1055;1596;1989;663;811;1003
FRAEX38873_v2_000058560;0;14;19;0;0;0
FRAEX38873_v2_000058570;18;78;23;53;21;23
FRAEX38873_v2_000058580;846;1274;1280;1184;1430;1236
FRAEX38873_v2_000058590;750;885;996;1058;1108;1208
FRAEX38873_v2_000058600;1156;575;989;1040;855;970
FRAEX38873_v2_000058610;564;701;966;566;819;1814
FRAEX38873_v2_000066570;190;269;443;635;489;666
FRAEX38873_v2_000066580;2067;3512;4085;2799;2525;3643
FRAEX38873_v2_000066590;54;34;56;128;108;77
FRAEX38873_v2_000066600;22;0;6;27;37;1
FRAEX38873_v2_000066610;200;725;1085;2148;3157;1124
FRAEX38873_v2_000066620;0;0;0;0;0;0
FRAEX38873_v2_000066630;141;89;139;202;203;182
FRAEX38873_v2_000066640;0;0;6;3;0;1
